Sample_ID;value;Genus
LM-CONV-18C;0.98789494370832;Saccharomyces
LM-CONV-Control;0.989768675577245;Saccharomyces
LM-CONV-NH4;0.990081008525423;Saccharomyces
LM-CONV-SO2;0.989501243412017;Saccharomyces
LM-ECO-18C;0.738005544130618;Lachancea
LM-ECO-Control;0.927070989089981;Lachancea
LM-ECO-NH4;0.975598580984889;Lachancea
M-CONV-18C;0.95085876595015;Hanseniaspora
M-CONV-Control;0.936751664140203;Hanseniaspora
M-CONV-NH4;0.869656216248571;Hanseniaspora
M-ECO-18C;0.965898331728203;Hanseniaspora
M-ECO-Control;0.943112700390118;Hanseniaspora
M-ECO-NH4;0.939389149885738;Hanseniaspora
R1-CONV-18C;0.973628523804415;Hanseniaspora
R1-CONV-Control;0.983588786454393;Hanseniaspora
R1-CONV-NH4;0.975739905968066;Hanseniaspora
R1-ECO-18C;0.944423362516145;Lachancea
R1-ECO-Control;0.994132580606857;Lachancea
R1-ECO-NH4;0.971681553884962;Lachancea
R1-ECO-SO2;0.994669369701534;Citeromyces
R2-CONV-18C;0.983133041593753;Lachancea
R2-CONV-Control;0.796154616027686;Hanseniaspora
R2-CONV-NH4;0.721141258304722;Hanseniaspora
R2-CONV-SO2;0.901666150085588;Hanseniaspora
R2-ECO-18C;0.905772506366582;Lachancea
R2-ECO-Control;0.93238221124233;Lachancea
R2-ECO-NH4;0.940295987793385;Lachancea
R3A-CONV-18C;0.985826687412044;Lachancea
R3A-CONV-Control;0.99584410156346;Lachancea
R3A-CONV-NH4;0.994123740332062;Lachancea
R3A-ECO-18C;0.993923806617699;Lachancea
R3A-ECO-Control;0.924635946087949;Lachancea
R3A-ECO-NH4;0.988128358927167;Lachancea
R3B-CONV-18C;0.715452978059216;Lachancea
R3B-CONV-Control;0.517601291019804;Lachancea
R3B-CONV-NH4;0.525278207746769;Saccharomyces
R3B-CONV-SO2;0.941450381009058;Saccharomyces
R3B-ECO-18C;0.95946781084233;Lachancea
R3B-ECO-Control;0.982439972647762;Lachancea
R3B-ECO-NH4;0.983538403316589;Lachancea
R3C-ECO-18C;0.981593224180294;Lachancea
R3C-ECO-Control;0.98112286257425;Lachancea
R3C-ECO-NH4;0.991126288681608;Lachancea
R3C-ECO-SO2;0.986471346461537;Citeromyces
RdG-CONV-18C;0.993933227349267;Kluyveromyces
RdG-CONV-Control;0.974697892779547;Kluyveromyces
RdG-CONV-NH4;0.988663617086946;Kluyveromyces
RdG-CONV-SO2;0.986774713146886;Kluyveromyces
RdG-ECO-18C;0.9517514513135;Hanseniaspora
RdG-ECO-Control;0.986722887001261;Hanseniaspora
RdG-ECO-NH4;0.959508728313069;Hanseniaspora
VLP-CONV-18C;0.600280583725973;Hanseniaspora
VLP-CONV-Control;0.673454749247354;Hanseniaspora
VLP-CONV-NH4;0.518791642589099;Saccharomyces
VLP-CONV-SO2;0.979095420691127;Saccharomyces
VLP-ECO-18C;0.984114347287076;Saccharomyces
VLP-ECO-Control;0.972168546152737;Saccharomyces
VLP-ECO-NH4;0.988963059582747;Saccharomyces
VLP-ECO-SO2;0.985890151652572;Saccharomyces
